id,name,country_id,full_date,year,month,day,wgs_long,wgs_lat,championship_type,is_championship
50YearsPhilippines2024,50 Years of Cubing in the Philippines 2024,Philippines,2024-10-06,2024,10,6,121.056109,14.73575,,0
50YearsVallentuna2024,50 Years of Cubing - Vallentuna 2024,Sweden,2024-05-19,2024,5,19,18.069553,59.541747,,0
5BLDinaMadisonFall2024,5BLD in a Madison Fall 2024,USA,2024-11-02,2024,11,2,-89.380278,43.071556,,0
5BldinTashkentPhaseOne2025,Five Blind in Tashkent Phase One - Denial - 2025,Uzbekistan,2025-11-29,2025,11,29,69.247783,41.304078,,0
5BLDMadnessSeongnam2024,5BLD Madness Seongnam 2024,Korea,2024-11-09,2024,11,9,127.078574,37.407786,,0
5BLDMadnessSeoul2024,5BLD Madness Seoul 2024,Korea,2024-11-09,2024,11,9,126.962191,37.477862,,0
5BLDMadnessSuwon2024,5BLD Madness Suwon 2024,Korea,2024-11-09,2024,11,9,127.065921,37.283091,,0
5BLDMastersOpole2025,5BLD Masters Opole 2025,Poland,2025-03-01,2025,3,1,17.869058,50.682163,,0
5thGuwahatiOpen2019,5th Guwahati Open 2019,India,2019-12-28,2019,12,28,91.746736,26.187422,,0
5VallesMexicali2025,5 Valles Mexicali 2025,Mexico,2025-02-22,2025,2,22,-115.479226,32.659104,,0
5x5onMadisonIce2023,5x5 on Madison Ice 2023,USA,2023-12-09,2023,12,9,-89.380278,43.071556,,0
625BayArea2017,6.25 Bay Area 2017,USA,2017-06-24,2017,6,24,-121.986359,37.366138,,0
6byRoad6Israel2023,6 by Road 6 Israel 2023,Israel,2023-10-20,2023,10,20,34.999191,32.239147,,0
6byRoad6Israel2024,6 by Road 6 Israel 2024,Israel,2024-03-01,2024,3,1,34.858858,32.054862,,0
6SidesofSilesia2017,6 Sides of Silesia 2017,Poland,2017-01-14,2017,1,14,19.179492,50.324482,,0
6thGuwahatiOpen2024,6th Guwahati Open 2024,India,2024-09-21,2024,9,21,91.772139,26.185956,,0
6x6StillinaMadisonPark2024,6x6 Still in a Madison Park 2024,USA,2024-09-15,2024,9,15,-89.39875,43.063517,,0
70AnosFatimaMontevideo2025,70 Años Fátima Montevideo 2025,Uruguay,2025-05-31,2025,5,31,-56.157776,-34.904381,,0
75porCientoBogota2023,75 por Ciento Bogotá 2023,Colombia,2023-02-26,2023,2,26,-74.112246,4.710608,,0
75porcientoBogota2025,75 por ciento Bogotá 2025,Colombia,2025-10-18,2025,10,18,-74.112246,4.710608,,0
